ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.236,-0.115,9.74,0.218,-0.087,9.804,0.02,-0.029,-0.016,0,0,-0.1,6.232,11.3,193.6,-472.2,353.5,0.5,-1.3,44.78
0.201,-0.082,9.771,0.217,-0.084,9.804,-0.015,0.002,0.009,0,0,-0.1,6.568,11.4,193.6,-472.1,353.5,0.5,-1.3,44.78
0.236,-0.065,9.731,0.219,-0.082,9.804,0.018,0.016,-0.028,0,0,0,6.568,11.3,193.4,-472,353.5,0.5,-1.3,36.84
0.198,-0.11,9.759,0.216,-0.085,9.804,-0.017,-0.026,0,0,0,-0.1,6.484,11.2,193.6,-472.1,353.6,0.5,-1.3,36.84
0.224,-0.101,9.736,0.218,-0.089,9.804,0.007,-0.012,-0.026,0,0,-0.1,6.653,11,193.6,-471.9,353.5,0.5,-1.3,36.84
0.224,-0.041,9.788,0.218,-0.083,9.804,0.007,0.041,0.024,0,0.1,-0.1,6.653,11.3,193.4,-472.1,353.5,0.5,-1.3,36.84
0.22,-0.103,9.759,0.217,-0.083,9.804,0.003,-0.021,-0.006,0,0.1,-0.1,6.653,11.2,193.4,-472.3,353.5,0.5,-1.3,37.89
0.208,-0.072,9.736,0.216,-0.082,9.804,-0.007,0.009,-0.026,0,0,-0.1,6.568,11,193.5,-472.3,353.5,0.5,-1.3,37.89
0.205,-0.098,9.7,0.212,-0.085,9.804,-0.005,-0.014,-0.054,0.1,0.1,-0.1,6.653,10.9,193.7,-472.3,353.6,0.5,-1.2,37.89
0.179,-0.089,9.766,0.207,-0.085,9.804,-0.027,-0.004,0.011,0,0,0,6.653,11,193.7,-472.1,353.7,0.5,-1.2,38.28
0.191,-0.067,9.762,0.206,-0.082,9.804,-0.014,0.014,0,0,0.1,-0.1,6.653,11.3,193.9,-472.1,353.7,0.5,-1.2,38.28
0.179,-0.086,9.79,0.202,-0.082,9.804,-0.022,-0.005,0.026,0,0,-0.1,6.737,11.6,193.9,-471.9,353.5,0.5,-1.2,38.28
0.229,-0.058,9.724,0.203,-0.079,9.804,0.027,0.021,-0.031,0,0,0,6.821,11.8,194,-472.1,353.5,0.5,-1.2,39.05
0.227,-0.084,9.809,0.206,-0.08,9.804,0.022,-0.005,0.048,0,0,0,6.821,12,194,-471.9,353.4,0.5,-1.2,39.05
0.232,-0.072,9.75,0.213,-0.079,9.804,0.02,0.006,-0.01,0.1,0.1,0,6.989,11.9,193.9,-471.8,353.3,0.5,-1.2,39.05
0.227,-0.115,9.807,0.213,-0.082,9.804,0.014,-0.034,0.042,0.1,0,0,6.484,12,193.9,-471.5,353.3,0.5,-1.2,39.36
0.205,-0.096,9.781,0.214,-0.083,9.804,-0.008,-0.013,0.021,0,0,0,6.568,11.6,194.1,-471.8,353.3,0.5,-1.3,39.36
0.205,-0.077,9.79,0.213,-0.082,9.804,-0.007,0.005,0.027,0,0,0,6.568,11.4,194.2,-471.6,353.6,0.5,-1.2,39.36
