ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.053,-0.191,9.764,0.097,-0.156,9.805,-0.044,-0.036,-0.003,0,-0.4,0,22.737,-0.1,-0.8,-89.4,200.1,0.9,-0.6,37.59
0.075,-0.17,9.676,0.098,-0.158,9.805,-0.023,-0.013,-0.08,0,-0.4,0,22.737,-0.2,-0.6,-89.3,200.2,0.9,-0.6,37.59
0.077,-0.165,9.743,0.098,-0.159,9.805,-0.021,-0.007,-0.015,0,-0.3,0.1,22.989,0,-1,-89,200.1,0.9,-0.6,37.59
0.032,-0.125,9.743,0.094,-0.155,9.805,-0.062,0.03,-0.013,0,-0.3,0,22.905,-0.2,-0.5,-89,211.3,0.9,-0.6,37.59
0.086,-0.122,9.743,0.097,-0.149,9.805,-0.01,0.027,-0.017,0,-0.3,0,22.737,-0.2,-0.4,-89.1,212.9,0.9,-0.6,36.25
0.055,-0.163,9.764,0.096,-0.151,9.805,-0.04,-0.012,0.004,0,-0.4,0,22.737,-0.1,-0.4,-89,212.3,0.9,-0.6,36.25
0.063,-0.153,9.788,0.097,-0.15,9.805,-0.034,-0.004,0.026,0,-0.4,0,22.737,-0.2,-0.4,-89.3,212.9,0.9,-0.6,36.25
0.036,-0.153,9.802,0.094,-0.15,9.805,-0.057,-0.003,0.035,0,-0.3,0,22.653,-0.2,-0.3,-89.5,212,0.9,-0.5,36.11
0.084,-0.144,9.759,0.096,-0.149,9.805,-0.012,0.005,-0.005,0,-0.4,0,22.653,-0.2,-0.2,-89.3,212.8,0.9,-0.6,36.11
0.041,-0.163,9.714,0.094,-0.151,9.805,-0.052,-0.013,-0.045,0,-0.3,0,22.737,-0.4,-0.4,-89.1,211.9,0.9,-0.5,36.11
0.077,-0.175,9.819,0.098,-0.154,9.805,-0.021,-0.021,0.057,-0.1,-0.4,0,22.653,-0.4,-0.3,-88.9,212.6,0.9,-0.6,38.59
0.105,-0.153,9.728,0.103,-0.154,9.805,0.003,0,-0.03,0,-0.3,0,22.989,-0.1,-0.2,-88.7,213.7,0.9,-0.6,38.59
0.077,-0.182,9.726,0.103,-0.157,9.805,-0.025,-0.025,-0.024,0,-0.4,0,22.989,-0.1,-0.2,-88.7,213.1,0.9,-0.6,38.59
0.084,-0.182,9.766,0.104,-0.16,9.805,-0.02,-0.022,0.015,0,-0.4,0,23.074,0.1,-0.3,-88.8,213.1,0.9,-0.6,38.21
0.063,-0.191,9.755,0.099,-0.166,9.805,-0.036,-0.026,0.006,0,-0.4,0,23.242,0.3,-0.3,-89.2,210.8,1,-0.6,38.21
0.067,-0.153,9.731,0.099,-0.165,9.805,-0.031,0.011,-0.016,0,-0.4,0,22.989,0.2,-0.3,-89.3,211.1,1,-0.6,38.21
0.098,-0.115,9.79,0.101,-0.16,9.805,-0.002,0.044,0.035,0,-0.4,0,22.989,0,-0.3,-89.5,212.4,0.9,-0.6,38.21
0.103,-0.158,9.781,0.105,-0.159,9.805,-0.001,0,0.023,0.1,-0.3,0,23.326,-0.2,-0.5,-89.3,201.3,0.9,-0.6,37.91
0.077,-0.163,9.714,0.108,-0.156,9.805,-0.031,-0.008,-0.037,0.1,-0.4,0,23.242,-0.2,-0.4,-89.3,214.8,0.9,-0.6,37.91
0.077,-0.182,9.752,0.108,-0.159,9.805,-0.031,-0.024,0.001,-0.1,-0.3,0,23.242,-0.2,-0.2,-89.2,214.3,0.9,-0.6,37.91
0.094,-0.165,9.795,0.108,-0.16,9.805,-0.014,-0.006,0.04,0,-0.6,0,23.242,-0.2,-0.5,-89.3,213.2,0.9,-0.6,38.13
0.072,-0.17,9.821,0.108,-0.162,9.805,-0.035,-0.009,0.059,-0.1,-0.2,0.1,23.326,-0.2,-0.7,-89.5,201.8,0.9,-0.6,38.13
0.058,-0.127,9.774,0.11,-0.154,9.805,-0.052,0.026,0.009,0.2,-0.4,0,23.326,-0.1,-0.7,-89.4,202.7,0.9,-0.7,38.13
0.07,-0.156,9.819,0.11,-0.153,9.805,-0.04,-0.003,0.048,0,-0.5,0,23.326,-0.2,-0.5,-89.5,202.9,0.9,-0.6,38.09
0.067,-0.117,9.783,0.111,-0.149,9.805,-0.044,0.031,0.01,0,-0.4,0,23.495,-0.3,-0.7,-89.3,203,0.9,-0.7,38.09
0.048,-0.11,9.726,0.109,-0.145,9.805,-0.06,0.034,-0.041,0,-0.4,0.1,23.242,-0.2,-1,-88.9,203.1,0.8,-0.6,38.09
0.205,-0.141,9.783,0.129,-0.143,9.805,0.077,0.001,0.009,0.2,-0.3,-1.5,23.326,-0.3,-1,-88.7,204.3,0.8,-0.7,39.43
0.084,-0.16,9.664,0.127,-0.144,9.805,-0.043,-0.017,-0.097,0,-0.3,-2,23.326,-0.6,-1,-88.4,183.5,0.8,-0.7,39.43
-0.014,-0.201,9.755,0.111,-0.155,9.805,-0.124,-0.047,-0.008,0.1,-0.4,0.2,23.411,-0.7,-1,-88.2,182.4,0.9,-0.7,39.43
-0.042,-0.175,9.771,0.098,-0.156,9.805,-0.139,-0.019,0.008,0,-0.4,1.2,23.411,-1,-1,-87.8,177.1,0.9,-0.6,39.43
0.134,-0.136,9.752,0.104,-0.154,9.805,0.01,0.019,-0.023,0,-0.4,0.9,23.411,-1.2,-1,-87.7,178.3,0.9,-0.6,44.47
-0.033,-0.132,9.964,0.099,-0.15,9.805,-0.131,0.018,0.182,-0.1,-0.2,-0.6,23.242,-1.7,-0.7,-87,154.3,0.9,-0.6,44.47
0.125,-0.158,9.74,0.105,-0.151,9.805,0.019,-0.007,-0.037,0,-0.4,-0.3,23.663,-1.9,-0.7,-86.8,155.6,0.9,-0.6,44.47
0.177,-0.165,9.788,0.122,-0.149,9.805,0.056,-0.016,0.006,0.1,-0.4,0.2,23.663,-2,-0.7,-86,158,0.9,-0.7,44.86
0.06,-0.122,9.783,0.119,-0.145,9.805,-0.058,0.023,0.001,0.1,-0.4,0.9,23.663,-2.2,-0.5,-85.8,143.1,0.9,-0.7,44.86
0.065,-0.179,9.786,0.106,-0.146,9.805,-0.041,-0.034,0.006,0,-0.4,-0.8,23.747,-2.2,-0.5,-85.1,154.5,0.9,-0.6,44.86
0.075,-0.148,9.714,0.107,-0.146,9.805,-0.032,-0.003,-0.058,0,-0.4,-0.1,23.495,-2.2,-0.5,-84.9,154.7,0.9,-0.6,45
0.108,-0.129,9.793,0.118,-0.149,9.805,-0.01,0.019,0.019,0.1,-0.4,0.5,23.495,-2.2,-0.7,-84.5,156.5,0.9,-0.7,45
