ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.108,-0.141,9.721,0.124,-0.15,9.805,-0.015,0.008,-0.019,-0.1,-0.4,0,23.074,-3.7,-1.7,-81.2,137.5,0.9,-0.7,50.77
0.077,-0.146,9.714,0.12,-0.152,9.805,-0.042,0.005,-0.025,-0.1,-0.4,0,23.074,-4.1,-2,-80.8,137.3,0.9,-0.7,50.88
0.098,-0.134,9.764,0.122,-0.151,9.805,-0.023,0.016,0.023,0,-0.4,0.1,22.821,-4,-1.7,-80.9,137.3,0.9,-0.7,50.88
0.041,-0.141,9.745,0.119,-0.148,9.805,-0.077,0.006,0.02,-0.1,-0.4,0,23.495,-4.1,-1.8,-80.9,136.9,0.9,-0.7,50.88
0.055,-0.096,9.75,0.117,-0.144,9.805,-0.06,0.046,0.022,-0.1,-0.5,0,23.495,-4.3,-1.9,-81.1,136.4,0.8,-0.7,51.75
0.07,-0.125,9.786,0.115,-0.141,9.805,-0.044,0.015,0.052,-0.1,-0.5,0,23.495,-4,-1.7,-81.2,136.1,0.8,-0.7,51.75
0.055,-0.125,9.764,0.113,-0.14,9.805,-0.057,0.015,0.028,-0.1,-0.4,0,23.916,-4,-1.6,-81,135.9,0.8,-0.7,51.75
0.077,-0.16,9.69,0.114,-0.144,9.805,-0.036,-0.018,-0.05,0,-0.4,0,24.084,-3.8,-1.6,-81.1,136.1,0.8,-0.7,49.42
0.12,-0.139,9.74,0.119,-0.143,9.805,0.002,0.004,0,-0.1,-0.4,0,24.253,-3.9,-1.6,-81,136.5,0.8,-0.7,49.42
0.06,-0.17,9.728,0.113,-0.149,9.805,-0.052,-0.022,-0.007,0,-0.4,0,24.253,-3.9,-1.6,-80.9,136.5,0.9,-0.7,49.42
0.096,-0.222,9.54,0.116,-0.159,9.805,-0.019,-0.065,-0.173,-0.2,-0.4,0,24,-3.9,-1.6,-80.5,137.4,0.9,-0.7,49.42
0.098,-0.148,9.783,0.126,-0.151,9.805,-0.026,0.001,0.061,0.4,-0.8,0.1,24.168,-4.4,-1.6,-79.4,137.1,0.9,-0.7,49.76
1.255,-0.101,9.764,0.261,-0.142,9.802,0.997,0.04,0.037,0.3,-0.9,2,24.168,-4.9,-1.6,-78.7,137.3,0.8,-1.5,49.76
1.203,-0.255,9.778,0.309,-0.141,9.801,0.897,-0.115,0.053,-0.3,-0.6,-5.4,24.084,-6.2,-1.6,-76.7,131,0.8,-1.8,49.76
1.512,-0.051,9.738,0.343,-0.139,9.8,1.172,0.087,0.013,0,-1.7,-10.3,24.253,-7,-2.1,-76.1,125.3,0.8,-2,56.24
1.293,-0.108,9.621,0.419,-0.131,9.797,0.878,0.023,-0.1,0.1,-1.7,5.2,25.347,-9.4,-1.1,-71.2,108.2,0.8,-2.4,56.24
1.665,-0.248,9.774,0.457,-0.137,9.795,1.211,-0.113,0.052,-0.2,-1.5,8,25.347,-10.6,-0.4,-68.5,97.1,0.8,-2.7,56.24
1.746,-0.294,9.914,0.751,-0.202,9.776,0.997,-0.093,0.165,-0.6,-1,7.6,26.274,-13.6,2.7,-59.6,79.4,1.2,-4.4,64.64
-0.271,-0.279,9.745,0.742,-0.22,9.776,-1.011,-0.06,-0.003,-0.8,-1,12.9,27.116,-14.7,4.7,-52.7,70.9,1.3,-4.3,64.64
-2.025,0.133,9.862,0.682,-0.239,9.78,-2.705,0.37,0.113,-0.6,-0.6,4.4,27.116,-16.6,9.4,-35.9,60.7,1.4,-4,64.64
-2.606,0.23,9.681,0.633,-0.237,9.783,-3.236,0.466,-0.066,-0.2,-0.4,-1.7,28.042,-16.1,11.6,-26.9,51.5,1.4,-3.7,66.92
-2.051,-0.253,9.621,0.572,-0.23,9.787,-2.621,-0.024,-0.122,0,-0.6,-5.1,28.463,-15.5,13.5,-18.7,47.8,1.4,-3.6,66.92
-0.837,-0.144,9.75,0.557,-0.222,9.788,-1.392,0.078,0.007,0.4,-0.6,-8.4,27.958,-13.6,16.6,-3.7,39.2,1.3,-3.3,66.92
0.182,-0.139,9.724,0.548,-0.213,9.789,-0.364,0.073,-0.02,-0.1,-0.6,0.1,27.958,-11.7,17.6,1.8,33.9,1.3,-3.2,66.92
0.194,-0.182,9.774,0.548,-0.213,9.789,-0.352,0.03,0.03,0,-0.4,0.1,27.705,-9.5,19.2,8.1,26.2,1.2,-3.2,58.8
0.127,-0.158,9.762,0.546,-0.215,9.789,-0.334,0.006,-0.087,-0.1,0,0,27.537,-8.6,19.6,9.2,25.2,1.3,-3.2,58.8
0.146,-0.153,9.728,0.533,-0.22,9.79,-0.385,0.065,-0.013,-0.9,0.3,0,27.453,-8.1,19.9,8.9,22.8,1.3,-3.1,58.8
0.189,-0.163,9.79,0.463,-0.213,9.793,-0.272,0.049,0.047,-0.1,-0.4,0,27.453,-8,20.1,8.6,22.7,1.3,-2.9,47.53
0.191,-0.165,9.716,0.438,-0.209,9.795,-0.244,0.043,-0.024,-0.1,-0.4,0,26.863,-8,20.3,7.7,22.5,1.2,-2.6,47.53
0.167,-0.179,9.795,0.391,-0.205,9.797,-0.222,0.024,0.049,0,-0.4,0,24.674,-8,20,7.4,22.4,1.2,-2.4,47.53
0.158,-0.158,9.752,0.37,-0.2,9.798,-0.21,0.041,0.006,0,-0.4,0,24.674,-7.9,19.9,7.1,22.3,1.2,-2.2,47.84
0.198,-0.194,9.786,0.357,-0.188,9.798,-0.13,0.089,0.314,-0.1,-0.5,0,27.537,-7.9,19.7,7,22.3,1.1,-2.1,47.84
0.153,-0.198,9.724,0.328,-0.19,9.799,-0.174,-0.009,-0.055,0.1,-0.4,0,27.621,-7.7,19.7,7,22.2,1.1,-1.9,47.84
1.379,-0.041,10.462,0.352,-0.185,9.799,1.027,0.143,0.672,0.4,-1,-0.1,27.621,-8.1,19.9,7.2,22.3,1.1,-2.1,55.63
-0.97,-0.27,9.778,0.331,-0.172,9.8,-1.302,-0.098,-0.01,0.5,-0.4,-5.6,27.621,-9.4,20.5,7.9,24.7,1,-1.9,55.63
-0.502,-0.198,9.807,0.322,-0.166,9.8,-0.823,-0.032,0.019,0.1,-0.2,-7.4,27.958,-10.5,20.5,8.2,27,1,-1.9,55.63
-0.832,-0.334,9.752,0.289,-0.156,9.801,-1.121,-0.178,-0.035,0.4,-0.2,-7.4,28.042,-13.4,20.5,8.2,33.3,0.9,-1.7,55.63
-0.333,0.135,9.74,0.282,-0.147,9.801,-0.614,0.281,-0.046,0.1,-0.3,-2.6,28.547,-15.2,19.7,6.5,37.1,0.9,-1.6,65.09
-0.661,-0.06,9.719,0.16,-0.133,9.804,-0.82,0.072,-0.058,0.2,-0.3,-7.6,28.547,-18.4,18.3,0.2,45,0.8,-0.9,65.09
-1.075,-0.279,9.731,0.027,-0.145,9.806,-1.102,-0.135,-0.041,0.4,-0.3,-7.4,28.547,-19.9,17.1,-4.1,49.7,0.8,-0.2,65.09
0.662,0.113,9.597,0.036,-0.135,9.806,0.627,0.248,-0.171,0.4,0.2,5.8,27.789,-21.7,13.9,-17.2,57.9,0.8,-0.2,70.17
0.758,-0.177,9.759,0.043,-0.131,9.806,0.715,-0.046,-0.009,0.4,0.5,-0.3,27.789,-21.4,11.6,-24.8,60.8,0.8,-0.3,70.17
1.522,-0.096,9.805,0.085,-0.133,9.805,1.437,0.037,0.036,-0.1,1,1.5,26.779,-20.2,7.3,-38.6,71.8,0.8,-0.5,70.17
2.169,-0.046,9.759,0.107,-0.134,9.805,2.063,0.088,-0.009,-0.3,1.3,-1.4,25.516,-19.1,4.9,-44.2,76.7,0.8,-0.6,70.62
1.093,-0.103,9.783,0.139,-0.145,9.805,0.955,0.041,0.014,-0.7,0.6,5.4,24.253,-23,15.9,-48.1,55.6,0.8,-0.8,70.62
0.332,0.054,9.702,0.139,-0.148,9.805,0.193,0.201,-0.066,-0.3,0,-1.3,24.253,-23,18.7,-48.7,50.7,0.9,-0.8,70.62
0.372,-0.205,9.695,0.16,-0.15,9.804,0.212,-0.056,-0.071,-0.2,0,-8.3,23.916,-18.8,16.2,-51.7,50.1,0.9,-0.9,59.73
0.582,-0.103,9.721,0.168,-0.151,9.804,0.414,0.047,-0.044,-0.2,0,1,23.747,-17,15.4,-53,48.6,0.9,-1,59.73
0.06,-0.129,9.774,0.169,-0.155,9.804,-0.108,0.025,0.008,-0.1,-0.4,0,23.916,-13.9,15.4,-53.5,42.7,0.9,-1,59.73
0.096,-0.186,9.269,0.17,-0.166,9.804,-0.072,-0.022,-0.441,-1.1,-1.1,0,23.916,-12.7,15.4,-53.6,40.6,1,-1,59.73
0.089,-0.156,9.764,0.164,-0.168,9.804,-0.074,0.011,0.043,0,-0.4,0,23.579,-11.2,15.6,-53.8,33.8,1,-1,50.14
0.084,-0.139,9.74,0.16,-0.165,9.804,-0.074,0.025,0.017,0,-0.4,0,23.495,-10.9,15.7,-54,33.9,1,-0.9,50.14
0.096,-0.125,9.743,0.152,-0.157,9.804,-0.055,0.031,0.015,-0.1,-0.4,0,23.495,-10.7,15.7,-54.7,33.9,0.9,-0.9,50.14
0.075,-0.132,9.695,0.148,-0.155,9.804,-0.072,0.022,-0.029,0,-0.4,0,23.411,-10.7,15.8,-55,33.9,0.9,-0.9,48.63
0.096,-0.153,9.805,0.142,-0.155,9.804,-0.045,0.001,0.076,-0.1,-0.5,0,23.495,-10.5,15.7,-55.1,31.3,0.9,-0.8,48.63
0.075,-0.144,9.793,0.14,-0.155,9.804,-0.064,0.01,0.057,-0.1,-0.5,0,23.326,-10.4,15.5,-55.1,31.4,0.9,-0.8,48.63
0.063,-0.153,9.805,0.137,-0.154,9.804,-0.073,0,0.06,-0.1,-0.4,0,23.326,-10.3,15.8,-55,31.4,0.9,-0.8,48.92
0.079,-0.153,9.74,0.135,-0.155,9.804,-0.055,0.001,-0.004,0,-0.4,0,23.326,-10.3,15.7,-54.9,31.4,0.9,-0.8,48.92
0.022,-0.136,9.719,0.126,-0.152,9.805,-0.103,0.014,-0.022,-0.1,-0.4,0,23.158,-10,15.6,-54.7,31.5,0.9,-0.7,48.92
0.113,-0.12,9.747,0.129,-0.149,9.805,-0.016,0.028,0.006,0,-0.4,0,23.158,-10,15.8,-54.6,31.5,0.9,-0.8,49.33
0.089,-0.144,9.75,0.128,-0.15,9.805,-0.038,0.005,0.005,0,-0.4,0,23.158,-9.9,16,-54.4,31.5,0.9,-0.7,49.33
0.086,-0.151,9.755,0.128,-0.15,9.805,-0.041,-0.001,0.009,0,-0.4,0,23.074,-10.1,15.9,-54.3,31.5,0.9,-0.7,49.33
