ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.161,0.214,8.632,0.019,0.02,9.807,0.142,0.195,-0.99,0.9,-0.2,-0.1,9.179,-57.9,-205.3,476.7,159.2,0.2,-2.3,41.31
-0.273,-0.3,10.863,-0.023,-0.011,9.807,-0.25,-0.289,1.199,-5.9,2.7,-0.2,9.432,-57.8,-205.3,476.7,158.6,-0.1,-2.7,41.31
0.174,-0.052,9.58,0.026,0.028,9.807,0.149,-0.08,-0.083,2.6,2.9,0,9.432,-57.8,-205.5,476.8,158.9,0,-2.5,41.31
0.091,-0.087,9.94,0.02,-0.028,9.807,0.072,-0.06,0.268,2.8,0.1,0.1,9.179,-58,-205.4,477.2,159.6,-0.4,-2.3,37.87
0.008,-0.079,9.736,0.013,-0.02,9.807,-0.004,-0.059,0.062,1.2,0.8,0,9.095,-58,-205.5,477.4,159.8,-0.5,-2.3,37.87
0.028,-0.102,10.179,0.004,-0.009,9.807,0.024,-0.093,0.498,1.3,0.3,0.3,9.095,-58.1,-205.9,477.2,160,-0.6,-2.3,37.87
0.097,-0.179,9.799,0.019,-0.021,9.807,0.079,-0.157,0.106,-0.5,1,0.4,9.347,-58.1,-206,477.4,160.2,-0.8,-2.2,34.42
0.647,-1.635,9.75,0.016,-0.037,9.807,0.631,-1.599,0.053,1.7,-0.1,5,9.347,-57.6,-205.7,477.5,160.9,-1.4,-2.1,34.42
0.779,-1.547,9.768,0.015,-0.049,9.807,0.765,-1.499,0.07,2.8,-0.5,10.2,9.095,-57.4,-206,477.5,161.3,-1.7,-2.1,34.42
0.907,-2.121,9.546,0.025,-0.035,9.807,0.882,-2.086,-0.158,-1.2,1.6,12.8,9.095,-57.1,-206,477.6,161.5,-2.1,-2.1,34.42
0.455,-1.495,10.525,0.012,-0.006,9.807,0.443,-1.489,0.806,-0.9,1.3,12.5,9.179,-56.4,-206,478.1,162.1,-2.4,-2,60.32
0.505,-0.545,10.693,-0.012,0.054,9.806,0.517,-0.598,0.987,-5.3,2,9.7,9.011,-56.2,-206,478.8,162.1,-2.3,-2,60.32
0.519,-0.368,10.503,0.015,0.075,9.806,0.504,-0.443,0.784,-7.6,4,1.8,8.674,-55.8,-205.6,479.6,162.1,-1.6,-1.8,60.32
-0.995,-0.879,10.919,-0.012,0.04,9.807,-0.983,-0.919,1.175,0.7,1.8,6.5,8.674,-55.7,-205.4,479.6,162,-1.1,-1.6,68.38
-0.644,-1.141,10.818,-0.012,-0.041,9.807,-0.632,-1.1,1.056,3.6,-2.9,16.5,9.011,-55.7,-204.8,479.1,161.7,-1,-1.7,68.38
0.467,-0.702,10.153,-0.153,-0.087,9.805,0.621,-0.615,0.365,8,-21.5,7,8.421,-55.7,-204.5,479.1,160.9,-1,-2.2,68.38
-0.734,1.009,8.346,-0.107,-0.255,9.803,-0.628,1.263,-1.415,31.5,-11.2,2.7,8.421,-55.6,-204.8,478.9,157.8,-2.3,-4.3,73.35
-2.278,5.979,8.209,0.01,-0.214,9.804,-1.626,3.483,-0.909,14.2,-1.1,-14,8.421,-55.7,-205.4,479,157.8,-3.5,-4.7,73.35
-1.733,6.728,9.267,-0.12,0.306,9.801,-1.615,6.425,-0.446,-13.4,-4.3,1.2,8.337,-56,-206.5,479.6,156,-0.7,-4.6,73.35
0.26,0.622,7.616,-0.076,0.099,9.806,0.335,0.524,-2.067,-7.6,1.8,0.5,8.337,-56,-206.9,480.4,154.4,0.6,-4.9,69.44
0.07,0.288,8.813,-0.015,0.069,9.806,0.085,0.22,-0.856,-3.9,0.7,0.1,8.337,-56.2,-207.7,481.4,153.4,1.7,-4.9,69.44
0.026,0.032,9.757,-0.012,0.027,9.807,0.037,0.006,0.086,-1.2,-0.6,-0.2,8.337,-56.3,-207.9,481.3,153.2,1.9,-4.9,69.44
