ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.03,-0.055,9.834,0.001,-0.009,9.807,-0.031,-0.046,0.032,-0.6,0.1,-0.1,4.716,10.1,7.1,-11.9,303.1,0.6,-2.7,37.39,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,5,2015-09-28 13:47:34:999
-0.024,-0.018,9.812,0.0,-0.006,9.807,-0.024,-0.012,0.008,-0.4,0.2,-0.1,4.716,10.3,7.1,-11.9,303.1,0.6,-2.6,37.39,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,104,2015-09-28 13:47:35:098
-0.015,0.003,9.674,-0.003,-0.004,9.807,-0.012,0.007,-0.124,0.1,0.8,0.1,4.716,10.2,7.0,-11.9,303.1,0.6,-2.6,37.39,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,207,2015-09-28 13:47:35:201
-0.038,0.012,9.75,-0.008,-0.005,9.807,-0.03,0.017,-0.043,-0.1,0.8,0.5,4.632,10.3,6.7,-12.1,303.2,0.6,-2.5,38.32,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,304,2015-09-28 13:47:35:298
-0.119,0.083,9.808,-0.017,-0.002,9.807,-0.103,0.085,0.01,-0.5,1.1,0.5,4.547,10.6,6.8,-11.9,300.9,0.6,-2.5,38.32,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,404,2015-09-28 13:47:35:398
0.03,-0.115,9.732,0.002,-0.028,9.807,0.028,-0.088,-0.058,-0.7,1.6,0.5,4.884,10.5,6.5,-11.9,303.3,0.6,-2.3,38.32,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,504,2015-09-28 13:47:35:498
-0.047,0.108,9.569,-0.009,0.005,9.807,-0.038,0.103,-0.196,0.1,1.0,-0.3,4.884,10.7,6.5,-11.8,301.0,0.6,-2.2,39.56,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,604,2015-09-28 13:47:35:598
0.087,0.061,9.764,0.005,0.006,9.807,0.081,0.055,-0.001,0.5,-0.4,-0.7,4.968,10.8,6.7,-12.0,301.0,0.6,-2.2,39.56,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,705,2015-09-28 13:47:35:699
-0.041,-0.018,9.595,-0.001,0.004,9.807,-0.04,-0.021,-0.16,-0.9,-0.3,-0.1,5.221,10.9,6.5,-12.1,297.2,0.5,-2.3,39.56,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,804,2015-09-28 13:47:35:798
0.006,-0.042,9.876,0.009,-0.002,9.807,-0.004,-0.039,0.109,-0.4,-0.9,-0.3,4.884,10.7,6.4,-12.1,297.1,0.6,-2.4,36.54,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,904,2015-09-28 13:47:35:898
-0.051,-0.089,9.829,-0.004,-0.005,9.807,-0.048,-0.084,0.03,-0.4,0.2,-0.2,4.884,10.7,6.2,-12.1,297.1,0.5,-2.5,36.54,31.77252,76.98424,,998.2213135,,25.0,,0 / 0,1004,2015-09-28 13:47:35:998
