ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
-0.087,0.432,9.726,-0.076,0.429,9.797,-0.011,0.006,-0.011,0.1,-0.4,0,35.789,29.8,17.8,-6.7,301.4,-2.5,0.4,35.06
-0.109,0.382,9.728,-0.081,0.423,9.797,-0.028,-0.038,-0.009,-0.3,-0.1,-0.1,35.789,29.8,17.5,-6.7,301.4,-2.5,0.5,35.06
-0.106,0.44,9.807,-0.078,0.423,9.797,-0.029,0.019,0.061,-0.2,-1.1,0,35.789,29.7,17.7,-6.8,301.4,-2.5,0.5,35.06
-0.002,0.39,9.783,-0.038,0.415,9.798,0.036,-0.024,0.03,-0.1,-2.1,-0.1,35.284,29.9,17.5,-6.8,300,-2.4,0.2,35.73
-0.002,0.359,9.745,-0.011,0.408,9.798,0.009,-0.047,-0.008,-0.2,-2.4,-0.1,35.284,29.7,17.5,-7,299.9,-2.4,0.1,35.73
-0.028,0.361,9.75,0.015,0.394,9.799,-0.043,-0.031,-0.001,-0.2,-1.4,-0.1,35.284,30.1,17.6,-6.8,301.3,-2.3,-0.1,35.73
-0.054,0.368,9.743,0.02,0.389,9.799,-0.074,-0.019,-0.007,-0.3,-1,-0.1,34.611,30.2,17.7,-6.9,301.3,-2.3,-0.1,35.69
-0.023,0.444,9.759,0.029,0.392,9.799,-0.052,0.054,0.014,0.2,-0.8,-0.1,34.611,30.2,18.2,-6.9,301.3,-2.3,-0.2,35.69
0.013,0.402,9.807,0.032,0.394,9.799,-0.019,0.009,0.055,-0.1,-0.1,-0.1,34.526,30.4,18.3,-7,301.3,-2.3,-0.2,35.69
-0.035,0.402,9.852,0.015,0.401,9.798,-0.049,0.003,0.104,-0.1,0.4,-0.1,34.526,30.5,18.4,-6.8,301.3,-2.3,-0.2,36.21
-0.03,0.323,9.795,-0.001,0.391,9.799,-0.029,-0.066,0.041,-0.1,1.7,-0.1,34.695,30.6,18.7,-6.8,301.9,-2.3,0,36.21
-0.444,0.444,9.819,-0.146,0.409,9.797,-0.299,0.037,0.055,1.4,8.2,0,35.284,30.7,18.5,-7.2,300.5,-2.3,0.2,36.21
-0.316,0.454,9.755,-0.245,0.428,9.794,-0.071,0.028,-0.006,1.2,7.4,0,36.968,32.2,18.2,-10.1,300.2,-2.5,1.4,36.21
-0.594,0.444,9.812,-0.482,0.454,9.784,-0.114,-0.009,0.056,1.4,15.5,0.2,36.968,34,18.1,-13.3,299,-2.6,2,37.21
-0.82,0.442,9.276,-0.699,0.463,9.771,-0.127,-0.017,-0.415,0,18.9,0.2,39.579,39.1,18.7,-22.3,298.4,-2.7,4.1,37.21
-0.906,0.378,9.65,-0.831,0.461,9.761,0.011,-0.01,0.241,-0.3,4.9,0.2,41.263,41.7,19.3,-27.4,297.3,-2.7,4.9,37.21
-0.94,0.466,9.6,-0.975,0.455,9.747,0.029,0.014,-0.082,0.3,10.5,0.7,41.263,47.3,20.2,-38.3,297.1,-2.7,5.7,38.6
-1.218,0.392,9.745,-1.206,0.452,9.722,-0.017,-0.058,0.067,-0.1,11.4,3.5,42.358,49.9,20.9,-43.2,297.3,-2.7,6.4,38.6
-1.401,0.437,9.712,-1.376,0.454,9.699,-0.031,-0.015,0.05,-0.4,18.2,5.2,44.463,53.7,21.8,-50.9,298,-2.7,8.1,38.6
-1.989,0.566,9.714,-1.556,0.455,9.672,0.061,-0.03,0.004,-2.1,16.5,12.1,46.4,54.7,22.1,-53.1,298.4,-2.7,9.1,42.93
-2.104,0.39,9.314,-1.955,0.467,9.598,-0.153,-0.076,-0.26,-2.6,19,13.3,46.4,56.5,22.2,-56.6,300.1,-2.7,11.5,42.93
-2.337,0.459,9.624,-2.153,0.467,9.556,-0.189,-0.007,0.089,-3.2,17.3,14.9,47.074,57.4,22.3,-58,300.5,-2.7,12.7,42.93
-2.751,0.482,9.124,-2.607,0.468,9.442,-0.152,0.016,-0.29,-3.8,23.5,17.9,46.568,59.7,22,-61.2,301.6,-2.7,15.4,42.93
-3.137,0.461,9.469,-2.849,0.474,9.372,-0.296,-0.012,0.122,-4.8,21.6,17.4,46.568,60.8,21.8,-62.1,302.5,-2.8,16.9,52.13
-3.413,0.516,8.771,-3.357,0.481,9.202,-0.066,0.037,-0.401,-6.2,23.6,19.8,47.326,64.4,21.4,-66,303.8,-2.8,20,52.13
-3.658,0.578,8.833,-3.56,0.493,9.125,-0.111,0.086,-0.259,-6.3,15.8,19.8,45.979,66.5,21.2,-67.7,303.9,-2.9,21.3,52.13
-3.808,0.411,9.183,-3.785,0.504,9.033,-0.035,-0.091,0.179,-8.3,10.1,18.8,43.874,70.1,20.5,-70.4,304.4,-2.9,22.7,52.69
-3.839,0.49,8.938,-3.929,0.497,8.971,0.077,-0.005,-0.002,-11.1,21.5,24.6,43.874,71.3,20.1,-70.7,304.1,-2.9,23.7,52.69
-4.803,0.58,7.915,-4.592,0.459,8.653,-0.232,0.123,-0.7,-14.7,40.8,26.3,39.916,73.9,19.2,-70.7,306.3,-2.7,28,52.69
-5.086,0.623,8.117,-4.934,0.458,8.463,-0.176,0.167,-0.305,-13.3,29.9,24.7,31.411,74.1,18.4,-69.2,307.6,-2.7,30.2,52.84
-5.472,0.53,8.317,-5.305,0.431,8.237,-0.19,0.101,0.116,-19.5,19.3,24.5,25.684,74.5,16.7,-65.7,307.8,-2.5,32.8,52.84
-5.581,0.449,7.922,-5.527,0.388,8.092,-0.08,0.063,-0.134,-21.5,29.7,25,25.684,74.8,16,-63.8,307.4,-2.3,34.3,52.84
-6.1,0.468,7.379,-6.102,0.334,7.669,-0.028,0.136,-0.253,-16.3,29.6,19.6,19.116,74.9,14.1,-59.5,308,-2,38.5,56.33
-6.041,0.325,7.805,-6.33,0.324,7.483,0.259,0.003,0.357,-13.9,25,15.5,13.895,75.5,13.6,-58.5,310.7,-1.9,40.2,56.33
-6.669,0.454,7.231,-6.753,0.303,7.104,0.055,0.152,0.158,-18.3,24.8,20.6,13.895,77,12.7,-57.4,313.9,-1.8,43.5,56.33
-6.967,0.354,6.736,-6.962,0.314,6.9,-0.036,0.041,-0.133,-18.7,28.1,20.8,11.284,77.7,11.9,-56.8,316.2,-1.8,45.3,60.55
