ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB)
0.048,-0.158,9.774,0.088,-0.164,9.805,-0.039,0.005,0.033,0,-0.3,0,21.979,20.8,-22.7,-82.9,221.7,1,-0.5,43.72
0.065,-0.17,9.726,0.087,-0.167,9.805,-0.022,-0.004,-0.015,0.1,-0.3,0,21.726,20.9,-22.5,-82.6,222.9,1,-0.5,43.72
0.041,-0.175,9.757,0.086,-0.167,9.805,-0.044,-0.008,0.014,0.1,-0.3,0,21.642,20.9,-22.4,-82.5,222.9,1,-0.5,39.93
0.072,-0.21,9.769,0.089,-0.167,9.805,-0.016,-0.044,0.021,0,-0.3,0,21.642,21.1,-22.2,-82.6,222.9,1,-0.5,39.93
0.077,-0.215,9.562,0.091,-0.173,9.805,-0.014,-0.044,-0.166,0,-0.4,0,21.558,21.2,-22.4,-82.7,222.9,1,-0.5,39.93
0.044,-0.194,9.719,0.087,-0.173,9.805,-0.042,-0.021,-0.013,0,-0.3,0,20.968,21.2,-22.3,-82.7,222.8,1,-0.5,40.78
0.027,-0.172,9.821,0.083,-0.173,9.805,-0.056,0,0.079,0,-0.3,0,20.884,21.2,-22.1,-82.9,222.8,1,-0.5,40.78
0.089,-0.179,9.659,0.085,-0.173,9.805,0.004,-0.008,-0.059,0.2,-0.3,0,20.884,21.1,-22.1,-82.9,222.8,1,-0.5,40.78
0.075,-0.177,9.757,0.087,-0.173,9.805,-0.012,-0.006,0.034,-0.1,-0.3,0,20.547,20.9,-22.3,-83,222.8,1,-0.5,40.78
0.058,-0.175,9.774,0.083,-0.166,9.805,-0.025,-0.009,0.017,-0.1,-0.4,0,20.547,21.1,-22.4,-83,222.8,1,-0.5,39.89
0.072,-0.136,9.743,0.086,-0.163,9.805,-0.013,0.025,-0.012,0.1,-0.4,0,20.547,21.1,-22.3,-82.7,222.9,1,-0.5,39.89
0.065,-0.215,9.781,0.088,-0.165,9.805,-0.022,-0.051,0.024,0.2,-0.2,0,20.716,20.4,-21.8,-80.9,221.6,1,-0.5,39.89
0.07,-0.196,9.743,0.088,-0.167,9.805,-0.018,-0.03,-0.012,0.1,-0.2,0,20.8,19.8,-21.5,-79.6,222.8,1,-0.5,40.1
0.032,-0.146,9.764,0.081,-0.161,9.805,-0.049,0.015,0.008,0.4,-0.1,-0.1,20.884,18.4,-20.5,-76.3,219.9,0.9,-0.5,40.1
0.053,-0.196,9.705,0.079,-0.162,9.805,-0.025,-0.034,-0.046,0.1,0,-0.1,20.884,17.5,-19.7,-74.6,221.2,0.9,-0.5,40.1
-0.03,0.004,9.888,0.036,-0.151,9.805,-0.066,0.155,0.111,1.2,1.5,0.6,21.053,15.8,-18.3,-71.9,220.4,0.9,-0.2,40.48
0.025,-0.241,9.545,0.01,-0.154,9.805,0.015,-0.088,-0.206,0.2,3.4,0.9,21.726,15.5,-17.6,-70.8,220.1,0.9,-0.1,40.48
0.098,-0.186,9.924,0.02,-0.153,9.805,0.078,-0.035,0.167,0.6,-2.5,-1.5,21.979,14.9,-17.2,-69.8,219.9,0.9,-0.1,40.48
-0.459,-0.053,9.821,-0.014,-0.133,9.806,-0.444,0.08,0.058,1,-1.2,2.3,21.979,14.6,-17.2,-69.7,219.7,0.8,0.1,39.47
0.02,-0.129,9.935,0.01,-0.153,9.805,0.01,0.024,0.144,-1.6,3.1,6.4,22.063,14.5,-17.2,-69.9,220,0.9,-0.1,39.47
0.015,-0.275,9.486,-0.06,-0.188,9.805,0.074,-0.088,-0.271,-2.3,10.2,10.3,22.232,14.2,-17.3,-69.4,216.6,1.1,0.3,39.47
-0.402,-0.034,9.836,-0.307,-0.153,9.801,-0.096,0.118,0.078,-0.8,2.8,8.9,22.232,14.3,-17.2,-68.5,214.6,1,1.2,39.47
-0.156,-0.098,9.907,-0.305,-0.152,9.801,0.147,0.054,0.134,-0.8,-0.2,6.3,22.821,13.9,-16.4,-66.3,215,0.9,1.8,40.45
-0.235,-0.006,9.833,-0.305,-0.165,9.801,0.013,-0.043,0.089,-1.1,1.3,9,23.495,13.8,-16,-64.8,215,1,1.8,40.45
-0.313,-0.198,9.774,-0.316,-0.182,9.8,0.002,-0.017,-0.013,-3.9,-0.1,8.5,23.326,14,-13.9,-61,218.5,1.1,1.8,40.45
-0.511,-0.267,9.695,-0.37,-0.281,9.796,-0.143,0.012,-0.054,1.1,7.1,9.6,23.326,14.1,-13,-59,219.6,1.5,1.9,41.61
-0.692,-0.37,9.657,-0.487,-0.269,9.791,-0.207,-0.103,-0.079,2.6,8.2,9.5,22.4,14.6,-12,-55.7,222,1.6,2.8,41.61
-0.544,-0.103,9.847,-0.591,-0.249,9.786,-0.094,-0.022,0.08,0.2,7.3,10.5,22.737,14.8,-11.7,-54.2,221.2,1.5,3.5,41.61
-0.418,-0.341,9.538,-0.673,-0.23,9.781,0.251,-0.113,-0.185,-1.9,1.2,15.9,22.737,15.7,-11.2,-51.7,225.4,1.3,3.9,41.13
-0.742,-0.103,9.652,-0.695,-0.231,9.779,0.05,0.05,-0.107,-0.7,4.4,19.3,23.242,16.1,-11.2,-50.2,225.5,1.4,4.1,41.13
-0.837,-0.236,9.674,-0.782,-0.214,9.773,-0.062,-0.024,-0.02,-1.1,0.5,16.4,23.074,16.9,-10.9,-48.5,227.2,1.2,4.6,41.13
-0.882,-0.205,9.926,-0.811,-0.207,9.771,-0.075,0,0.208,-0.4,2.7,15.6,22.568,17,-10.9,-47.6,227.1,1.2,4.7,45.73
-0.954,-0.158,10.269,-0.9,-0.189,9.763,-0.053,0.032,0.492,-1.9,0.1,15,22.568,17.3,-10.7,-46.8,226.6,1.1,5.3,45.73
-1.204,-0.027,9.74,-0.969,-0.18,9.757,-0.234,0.153,-0.029,-2.4,6.3,13.8,22.653,17.5,-10.4,-46.1,230.9,1,5.7,45.73
-1.104,-0.203,9.6,-1.107,-0.191,9.742,0.002,-0.012,-0.134,-1.6,5.6,12.5,22.4,17.5,-9.9,-44.5,229.6,1.1,6.5,45.73
-1.208,-0.177,9.574,-1.18,-0.192,9.733,-0.031,0.014,-0.135,-1.6,5.7,12.7,22.316,17.7,-9.9,-43.5,229.4,1.1,6.9,46.63
-1.199,-0.279,9.674,-1.243,-0.205,9.725,0.041,-0.075,-0.026,-1.4,4.3,14.8,22.316,17.8,-9.7,-40.6,229.3,1.2,7.3,46.63
-1.235,-0.032,9.459,-1.296,-0.18,9.719,0.054,0.148,-0.207,-1.7,4.8,18.2,22.063,17.8,-9.5,-38.6,229.7,1.1,7.6,46.63
-1.032,-0.258,9.721,-1.279,-0.191,9.721,0.238,-0.068,0.062,-1.8,-3.8,19.2,21.558,18.1,-9.2,-35.7,233.5,1.1,7.5,46.14
